Date Time Created,Completed,Job ID,Asset / Position,Lock Off Number,Position 1,Position 2,Position 3,Position,Task,Completion Details,Date : Time Completed,Priority,Work Status,Date Request Converted,Was Request,Lost Operational Time (DD:HH:MM),Response Time(DD:HH:MM)
26/06/2023 08:07,TRUE,72463,ATR001(1015)(A09),N/A,North,Assembly Hall,TD,"North,Assembly Hall,TD",air leak from oil dip arm,fixed leak,27/06/2023 10:00,2) Machine Breakdown,Completed,27/06/2023 08:00,TRUE,000 Days 02 Hrs 00 Mins,000 Days 00 Hrs 00 Mins
23/06/2023 12:45,TRUE,72458,ATR001(1015)(A09),\,North,Assembly Hall,TD,"North,Assembly Hall,TD",AIR LEAK.,work completed,25/06/2023 22:31,2) Machine Breakdown,Retrieved From History,25/06/2023 22:38,TRUE,000 Days 00 Hrs 26 Mins,000 Days 00 Hrs 05 Mins
27/04/2023 07:34,TRUE,71688,ATR001(1015)(A09),n/a,North,Assembly Hall,TD,"North,Assembly Hall,TD",Air leak above rig,Leak found in pipe on cylinder inlet just after plastic tracking above dip station. pipe retailed and handed back to production. ,27/04/2023 08:52,2) Machine Breakdown,Completed,27/04/2023 08:50,TRUE,000 Days 00 Hrs 01 Mins,000 Days 00 Hrs 00 Mins
28/06/2022 12:03,TRUE,66561,ATR001(1015)(A09),11,North,Assembly Hall,TD,"North,Assembly Hall,TD",Problem with date stamper,replaced collet for stamper ,28/06/2022 12:44,2) Machine Breakdown,Completed,28/06/2022 12:07,TRUE,000 Days 00 Hrs 37 Mins,000 Days 00 Hrs 00 Mins
26/04/2022 08:03,TRUE,65631,ATR001(1015)(A09),0,North,Assembly Hall,TD,"North,Assembly Hall,TD",conveyor track sticking,Removed 4x side rails and reversed as was heavy wear. cleaned excess oil of pallets and track. ,26/04/2022 10:00,2) Machine Breakdown,Completed,26/04/2022 08:38,TRUE,000 Days 01 Hrs 22 Mins,000 Days 00 Hrs 00 Mins
16/07/2021 08:20,TRUE,60137,ATR001(1015)(A09),Air Test Arm not moving far enough,North,Assembly Hall,TD,"North,Assembly Hall,TD",Air Test Arm not moving far enough,made adjustments  to pick and place and clamp cylinder.,16/07/2021 09:06,2) Machine Breakdown,Completed,16/07/2021 09:03,TRUE,000 Days 00 Hrs 26 Mins,000 Days 00 Hrs 00 Mins
25/03/2021 08:53,TRUE,57685,ATR001(1015)(A09),"drain hopper ,pipework and strainer blocked",North,Assembly Hall,TD,"North,Assembly Hall,TD","drain hopper ,pipework and strainer blocked",cleaned and flushed pipework through,25/03/2021 10:00,2) Machine Breakdown,Completed,25/03/2021 08:56,TRUE,000 Days 01 Hrs 04 Mins,000 Days 00 Hrs 00 Mins
15/02/2021 13:23,TRUE,56185,ATR001(1015)(A09),N/A,North,Assembly Hall,TD,"North,Assembly Hall,TD",Tank Clean Required - High Bacteria levels,"Tank Cleaned.

Time, Date and Engineer Estimated",16/02/2021 17:00,1) Health and Safety,Completed,30/05/2022 11:51,TRUE,000 Days 01 Hrs 00 Mins,000 Days 00 Hrs 00 Mins
14/12/2020 11:22,TRUE,54384,ATR001(1015)(A09),Steam arm stuck in position,North,Assembly Hall,TD,"North,Assembly Hall,TD",Steam arm stuck in position,re-booted rig and up and running,14/12/2020 12:00,2) Machine Breakdown,Completed,15/12/2020 08:19,TRUE,000 Days 00 Hrs 38 Mins,000 Days 00 Hrs 23 Mins
05/12/2020 08:51,TRUE,54277,ATR001(1015)(A09),Ball Valve sticking ,North,Assembly Hall,TD,"North,Assembly Hall,TD",Ball Valve sticking ( Ref Vijay),air pressure to clamp was too low to actuate pressure switch causing rig to stall. have adjusted and locked adjustment knob nut to prevent vibrating loose. have also cleaned blocked strainer and adjacent pipework,07/12/2020 10:00,3) Non Machine Breakdown,Completed,07/12/2020 08:41,TRUE,000 Days 01 Hrs 19 Mins,000 Days 00 Hrs 01 Mins
19/11/2020 15:35,TRUE,54050,ATR001(1015)(A09),Actuator above rig has water leaking out,North,Assembly Hall,TD,"North,Assembly Hall,TD",Actuator above rig has water leaking out,have replaced valve ,28/11/2020 11:00,2) Machine Breakdown,Completed,20/11/2020 09:12,TRUE,000 Days 03 Hrs 00 Mins,000 Days 00 Hrs 00 Mins
16/11/2020 14:45,TRUE,53988,ATR001(1015)(A09),out of alignment,North,Assembly Hall,TD,"North,Assembly Hall,TD",Air arm out of alignment.,Aligned air test and conveyor position ,17/11/2020 16:10,2) Machine Breakdown,Monitoring,17/11/2020 08:17,TRUE,000 Days 07 Hrs 53 Mins,000 Days 00 Hrs 23 Mins
29/04/2020 12:36,TRUE,51372,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Oil arm out of line,,29/04/2020 14:30,2) Critical,Completed,29/04/2020 14:35,TRUE,000 Days 01 Hrs 54 Mins,000 Days 01 Hrs 24 Mins
08/04/2020 15:19,TRUE,51152,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Oil dip arm out of line,,08/04/2020 15:36,2) Critical,Completed,08/04/2020 15:20,TRUE,000 Days 00 Hrs 00 Mins,000 Days 00 Hrs 02 Mins
07/04/2020 00:00,TRUE,51121,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD","Oil arm stuck in one position.
Steam arm out of line",,07/04/2020 15:55,2) Critical,Completed,07/04/2020 15:55,TRUE,000 Days 04 Hrs 50 Mins,000 Days 00 Hrs 00 Mins
07/04/2020 08:52,TRUE,51117,ATR001(1015)(A09),(MR) Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Extractor fan not working,,07/04/2020 12:08,1) Health and Safety,Completed,,TRUE,000 Days 00 Hrs 00 Mins,000 Days 02 Hrs 08 Mins
10/03/2020 07:48,TRUE,50788,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD","air leak on oil dip arm and Pumps on station 1 and 2 of steam test are not working following high steam failures.
(have replaced pump1 & 2 with new ones. + fixed air leak)",,10/03/2020 14:00,2) Critical,Completed,10/03/2020 09:20,TRUE,000 Days 06 Hrs 12 Mins,000 Days 01 Hrs 42 Mins
03/03/2020 10:35,TRUE,50701,ATR001(1015)(A09),(MR) Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD","No power to extractor fans
Extractor fans tripped out as first suggested thanks to dave salisbury was able to find the trip switch",,03/03/2020 11:30,1) Health and Safety,Completed,03/03/2020 11:29,TRUE,000 Days 00 Hrs 00 Mins,000 Days 00 Hrs 00 Mins
13/02/2020 08:42,TRUE,50430,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD","Steam arm out of line
(was oil dip actuator. problem was caused by oil on conveyor sensor lens causing false sensing)",,13/02/2020 10:55,2) Critical,Completed,13/02/2020 09:45,TRUE,000 Days 00 Hrs 00 Mins,000 Days 01 Hrs 03 Mins
11/02/2020 10:17,TRUE,50393,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Oil arm losing pressure,made adjustment and running ok ,12/02/2020 09:15,2) Critical,Completed,12/02/2020 08:51,TRUE,000 Days 00 Hrs 45 Mins,000 Days 00 Hrs 00 Mins
14/01/2020 08:59,TRUE,49943,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",condensate in hopper is not draining,strainer befor discharge tank was blocked,14/01/2020 09:00,2) Critical,Completed,14/01/2020 09:00,TRUE,000 Days 00 Hrs 30 Mins,000 Days 00 Hrs 00 Mins
08/01/2020 11:31,TRUE,49849,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD","Date stamp on rig not stamping
STRIPPED AND CLEANED STAMP ASSEMBLY. RE-GREASED",,08/01/2020 13:45,2) Critical,Completed,08/01/2020 12:10,TRUE,000 Days 02 Hrs 14 Mins,000 Days 00 Hrs 59 Mins
03/01/2020 10:27,TRUE,49806,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",No air getting to steam arm,,03/01/2020 11:00,2) Critical,Completed,03/01/2020 11:08,TRUE,000 Days 00 Hrs 33 Mins,000 Days 00 Hrs 03 Mins
11/12/2019 10:39,TRUE,49639,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",steam arm out of allignment,,12/12/2019 08:08,2) Critical,Completed,12/12/2019 07:50,TRUE,000 Days 00 Hrs 00 Mins,000 Days 21 Hrs 11 Mins
22/11/2019 11:37,TRUE,49376,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Clamp on station 3 test rig won't retracked / stuck in clamped position,,25/11/2019 08:20,2) Critical,Completed,25/11/2019 08:25,TRUE,002 Days 20 Hrs 43 Mins,002 Days 20 Hrs 13 Mins
20/11/2019 11:19,TRUE,49331,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",work required to complete low level maintanence,carried out work requested by John Wintle,21/11/2019 12:30,4) As Soon As Practical,Completed,20/11/2019 12:44,TRUE,000 Days 23 Hrs 46 Mins,000 Days 00 Hrs 00 Mins
20/11/2019 10:35,TRUE,49328,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD","Hi failure rate on all 3 steam stations, when failed traps test manually they all pass",changed all low level parts as requested on earlier wo now running ok was 3x broken check vave inners on steam flow,20/11/2019 10:36,2) Critical,Completed,20/11/2019 12:42,TRUE,000 Days 00 Hrs 01 Mins,000 Days 00 Hrs 00 Mins
14/11/2019 09:12,TRUE,49229,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD","Replace 3 off BPT/AV13 internal parts
Replace 3 off DP27 prv,
Replace 3 off Ft14 trap internals
Replace 1 off 1"" strainer screen
Replace 3 off 3/4"" strainer screens
Replace 3 off 1/2"" strainer screens as requested by J.Wintle",replaced parts as requested,14/11/2019 09:00,2) Critical,Completed,14/11/2019 09:22,TRUE,001 Days 18 Hrs 00 Mins,000 Days 00 Hrs 00 Mins
05/11/2019 10:11,TRUE,49049,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD","venting pipes on steam stations need cleaning out with a rag / not venting correctly which is giving a false reading on probes.
Have cleaned pipes and stripped and cleaned air movers as were clogged up. will re-fit in morning 06/11/19 P.B",stripped down air movers and cleaned also cleaned pipes,06/11/2019 08:45,2) Critical,Completed,05/11/2019 10:34,TRUE,001 Days 01 Hrs 00 Mins,000 Days 00 Hrs 00 Mins
05/11/2019 07:39,TRUE,49036,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Air arm requires re-allignment / not sitting between seals correctly causing all to fail,,05/11/2019 08:30,2) Critical,Completed,05/11/2019 08:30,TRUE,000 Days 00 Hrs 00 Mins,000 Days 00 Hrs 21 Mins
01/11/2019 09:06,TRUE,49004,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Sensor on oil dip station not recognising traps on convayor,,05/11/2019 08:30,2) Critical,Completed,04/11/2019 08:00,TRUE,003 Days 23 Hrs 24 Mins,003 Days 22 Hrs 39 Mins
28/10/2019 00:00,TRUE,48882,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Steam clamps seizing and giving sensors inaccurate information. Cleaned and re-greased pivot pins. Found when manually firing cylinders that they were getting caught on the product catch tray. Adjusted drain pipe so that tray sat further down. Production ran a job through without any issues. I have instructed them to raise a new job if further issues occur. Handed back to production.,,28/10/2019 14:39,2) Critical,Completed,28/10/2019 08:18,TRUE,000 Days 05 Hrs 09 Mins,000 Days 00 Hrs 00 Mins
04/10/2019 08:44,TRUE,48565,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD","Oil arm has been crashing , stopping on it's own and trying to pick up traps that aren't their.",have made adjustment to prevent crashing into pallets. no other faults found after watching first palet load,07/10/2019 08:40,2) Critical,Completed,07/10/2019 07:58,TRUE,000 Days 00 Hrs 55 Mins,000 Days 00 Hrs 00 Mins
21/08/2019 00:00,TRUE,47785,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Big air leak on oil dip arm,,21/08/2019 16:45,1) Health and Safety,Completed,21/08/2019 16:10,TRUE,000 Days 00 Hrs 45 Mins,000 Days 00 Hrs 00 Mins
26/07/2019 11:51,TRUE,47420,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD","Oil dip arm keeps losing it's place and crashing , reset requires for temperary fix
( pallet stop sensor was faulting intermitantly. 3 x pin positions corrected. set flow controls to oil dip arm)",,30/07/2019 12:30,2) Critical,Completed,29/07/2019 07:51,TRUE,004 Days 00 Hrs 39 Mins,002 Days 20 Hrs 00 Mins
26/07/2019 09:14,TRUE,47414,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Steam arm out of allignment after arm didn't lift it's self all way up and hit other trap.,,26/07/2019 10:40,2) Critical,Completed,26/07/2019 10:20,TRUE,000 Days 01 Hrs 26 Mins,000 Days 01 Hrs 06 Mins
25/07/2019 08:11,TRUE,47381,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Oil arm doing it's own thing again / stopping mid action,,25/07/2019 09:40,2) Critical,Completed,25/07/2019 09:38,TRUE,000 Days 00 Hrs 00 Mins,000 Days 00 Hrs 04 Mins
24/07/2019 12:40,TRUE,47349,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD","Steam arm slightly out of allignment causing seals to pop out .

Oil arm keeps stopping and performing actions it's not required to do (sensor issues)

Reducing output",,24/07/2019 16:40,2) Critical,Completed,24/07/2019 14:37,TRUE,000 Days 04 Hrs 00 Mins,000 Days 01 Hrs 57 Mins
14/06/2019 07:58,TRUE,46719,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Extractor fans not working,Fans had stripped out in machine control panel.,14/06/2019 08:21,1) Health and Safety,Completed,14/06/2019 08:09,TRUE,000 Days 00 Hrs 16 Mins,000 Days 00 Hrs 00 Mins
29/04/2019 14:42,TRUE,46112,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",DP valve leaking from above autorig,replaced top diaphragms in dp valve,29/04/2019 16:00,1) Health and Safety,Completed,29/04/2019 15:51,TRUE,000 Days 01 Hrs 00 Mins,000 Days 00 Hrs 00 Mins
29/04/2019 09:25,TRUE,46100,ATR001(1015)(A09),(PB) (MR) Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Steam arm out of allignment and bent,No Ammendments Made Further monitoring to be done may have been a 1 off fault,29/04/2019 11:26,2) Critical,Completed,29/04/2019 10:29,TRUE,000 Days 00 Hrs 00 Mins,000 Days 00 Hrs 00 Mins
24/04/2019 09:01,TRUE,46039,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Problem with steam arm,Operator has noticed damage to oil dip grippers. I believe this is likely due to the placement of the pins and the general lack of rigidity in the arm. The operator is not currently running the machine but will inform us when he is so we can observe the machines operation and confirm/determine the cause of the damage.,24/04/2019 11:25,3) Urgent,Completed,24/04/2019 11:24,TRUE,000 Days 00 Hrs 55 Mins,000 Days 00 Hrs 00 Mins
11/04/2019 08:09,TRUE,45899,ATR001(1015)(A09),(MR) Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Air leak on lifting pipe,,11/04/2019 09:30,2) Critical,Completed,11/04/2019 09:45,TRUE,000 Days 01 Hrs 21 Mins,000 Days 01 Hrs 16 Mins
08/04/2019 14:43,TRUE,45843,ATR001(1015)(A09),(PB) Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Steam arm out of position,,08/04/2019 16:35,2) Critical,Completed,08/04/2019 16:17,TRUE,000 Days 00 Hrs 00 Mins,000 Days 01 Hrs 32 Mins
27/03/2019 08:41,TRUE,45653,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",AUTO RIG STEAM ARM OUT OF LINE,,27/03/2019 09:10,2) Critical,Completed,27/03/2019 08:52,TRUE,000 Days 00 Hrs 29 Mins,000 Days 00 Hrs 09 Mins
23/03/2019 11:40,TRUE,45594,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD","REPLACE EXTENDING STEAM CLAMP SEALS ON STATIONS 1,2&3",REPLACED SEALS AS REQUESTED,23/03/2019 11:45,2) Critical,Completed,23/03/2019 11:44,TRUE,000 Days 01 Hrs 45 Mins,000 Days 00 Hrs 00 Mins
19/03/2019 12:01,TRUE,45523,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",No air passing into pumps on steam test stations 1 and 2,,20/03/2019 15:30,2) Critical,Completed,19/03/2019 13:27,TRUE,001 Days 03 Hrs 29 Mins,000 Days 01 Hrs 29 Mins
07/02/2019 12:29,TRUE,44909,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD","steam arm out of aligment see clive,

Realigned pick and place arm, its fixing bolts cold have been tighter, ran pick and place afterwards to fing a exceptional alighnment with all stations.

Checked again this morning with operator, and all is working well.
Not sure why it became missalighned but will keep an eye on it till later in the day",,08/02/2019 13:38,2) Critical,Completed,07/02/2019 13:31,TRUE,001 Days 01 Hrs 09 Mins,000 Days 00 Hrs 04 Mins
30/01/2019 10:00,TRUE,44776,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Steam arm dampner needs replacing,,30/01/2019 12:00,2) Critical,Completed,30/01/2019 11:28,TRUE,000 Days 02 Hrs 00 Mins,000 Days 01 Hrs 15 Mins
23/01/2019 10:25,TRUE,44673,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Steam arm out of position,,23/01/2019 10:45,2) Critical,Completed,23/01/2019 12:06,TRUE,000 Days 00 Hrs 20 Mins,000 Days 00 Hrs 05 Mins
23/01/2019 07:35,TRUE,44665,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Steam arm out of line,,23/01/2019 08:15,2) Critical,Completed,23/01/2019 07:53,TRUE,000 Days 00 Hrs 40 Mins,000 Days 00 Hrs 10 Mins
08/01/2019 11:31,TRUE,44440,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Dip arm not picking up traps,,08/01/2019 17:45,2) Critical,Completed,08/01/2019 16:50,TRUE,000 Days 06 Hrs 14 Mins,000 Days 00 Hrs 49 Mins
03/01/2019 12:27,TRUE,44363,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Steam arm has gone out of allignment,,03/01/2019 14:00,2) Critical,Completed,03/01/2019 13:32,TRUE,000 Days 01 Hrs 33 Mins,000 Days 01 Hrs 03 Mins
02/01/2019 15:36,TRUE,44341,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Oil dip arm has stopped working / Picking traps up,"No fault found during visit, operator claims this offten happens after rig hasnt been used for a while, this could possibly be due to sticking air solenoids, removal and clean through of pnumatics parts would help resolve this, large production window would be required for this.",03/01/2019 08:59,2) Critical,Completed,03/01/2019 08:55,TRUE,000 Days 01 Hrs 00 Mins,000 Days 00 Hrs 00 Mins
20/12/2018 14:16,TRUE,44300,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD","Steam arm has gone out of allignment - Adjusted, tested and handed back to production",,20/12/2018 14:50,2) Critical,Completed,20/12/2018 14:37,TRUE,000 Days 00 Hrs 34 Mins,000 Days 00 Hrs 14 Mins
04/12/2018 07:44,TRUE,44057,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Air arm has gone out of allignment,,04/12/2018 08:30,2) Critical,Completed,04/12/2018 07:47,TRUE,000 Days 00 Hrs 46 Mins,000 Days 00 Hrs 01 Mins
29/11/2018 09:08,TRUE,44014,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Steam arm has gone out of allignment,,29/11/2018 10:00,2) Critical,Completed,29/11/2018 12:23,TRUE,000 Days 00 Hrs 52 Mins,000 Days 00 Hrs 22 Mins
21/11/2018 15:41,TRUE,43885,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Steam arm is out of allignment and Oil dip arm is lost its axis and trying to place parts in any random place.,,22/11/2018 09:00,2) Critical,Completed,21/11/2018 15:52,TRUE,000 Days 17 Hrs 19 Mins,000 Days 00 Hrs 11 Mins
08/11/2018 07:30,TRUE,43717,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Oil dip arm is not operating as it should ,,08/11/2018 08:56,2) Critical,Completed,08/11/2018 08:48,TRUE,000 Days 00 Hrs 00 Mins,000 Days 01 Hrs 26 Mins
06/11/2018 00:00,TRUE,43654,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Air leak from the oil dip area.,,06/11/2018 12:30,1) Health and Safety,Completed,06/11/2018 11:21,TRUE,000 Days 01 Hrs 09 Mins,000 Days 00 Hrs 39 Mins
15/10/2018 14:25,TRUE,43379,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Big air leak from a pipe on the oil arm unit.,,15/10/2018 15:00,1) Health and Safety,Completed,16/10/2018 07:46,TRUE,000 Days 00 Hrs 35 Mins,000 Days 00 Hrs 00 Mins
12/10/2018 09:04,TRUE,43362,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Safety barrier needed to stop power supply getting knocked,Completed,16/10/2018 16:34,1) Health and Safety,Completed,12/10/2018 09:15,TRUE,004 Days 08 Hrs 00 Mins,000 Days 00 Hrs 00 Mins
11/10/2018 14:23,TRUE,43350,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Steam arm out of line,,11/10/2018 15:45,2) Critical,Completed,11/10/2018 15:35,TRUE,000 Days 01 Hrs 22 Mins,000 Days 00 Hrs 52 Mins
26/09/2018 16:13,TRUE,43127,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Steam arm out off position.,,26/09/2018 16:30,2) Critical,Completed,26/09/2018 16:29,TRUE,000 Days 00 Hrs 17 Mins,000 Days 00 Hrs 02 Mins
19/09/2018 10:49,TRUE,43009,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Steam arm is out of allignment again.,,19/09/2018 14:00,2) Critical,Completed,19/09/2018 12:54,TRUE,000 Days 03 Hrs 11 Mins,000 Days 02 Hrs 41 Mins
25/08/2018 12:57,TRUE,42666,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD", Steam Arm/Pick & Placw Assenblies out of Alignment,,25/08/2018 14:00,2) Critical,Completed,25/08/2018 13:08,TRUE,000 Days 01 Hrs 00 Mins,000 Days 00 Hrs 00 Mins
17/08/2018 10:24,TRUE,42547,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",Steam arm is twisted / not sitting right in seals,,18/08/2018 07:45,2) Critical,Completed,18/08/2018 07:45,TRUE,000 Days 21 Hrs 21 Mins,000 Days 20 Hrs 36 Mins
03/07/2018 09:30,TRUE,41850,ATR001(1015)(A09),Work Request,North,Assembly Hall,TD,"North,Assembly Hall,TD",STEAM ARM OUT OF ALIGNMENT,Agreed complete with Graham Thomas who straightened manually. Time estimated. (THS),03/07/2018 12:00,2) Critical,Completed,03/07/2018 11:46,TRUE,000 Days 02 Hrs 00 Mins,000 Days 00 Hrs 00 Mins
